Nom	Descriptif et modalités	Années
ABILITY	Comment qualifieriez-vous votre propre compétence pour utiliser un ordinateur ?	2009       2013
	1- Très compétent	
	2- Assez compétent	
	3- Pas très compétent	
	4- Pas du tout compétent	
	5- Ne sait pas / Ne répond pas	
ACTUMED1	Quel média permet le mieux de suivre l'actualité ?	2008       2012       2016
	1- Les livres	
	2- La télévision	
	3- La radio	
	4- Internet	
	5- Les réseaux sociaux	
	6- La presse écrite	
	7- Ne sait pas / Ne répond pas	
ACTUMED2	Quel média permet le mieux de comprendre l'actualité ?	2008       2012       2016
	1- Les livres	
	2- La télévision	
	3- La radio	
	4- Internet	
	5- Les réseaux sociaux	
	6- La presse écrite	
	7- Ne sait pas / Ne répond pas	
ADM_INTERNET	Avez-vous effectué des démarches administratives ou fiscales par Internet ? (12 derniers mois)	2007
	1- Oui	
	2- Non	
AGE6FUZ	Âge (6 modalités)	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- 12-17 ans	
	2- 18-24 ans	
	3- 25-39 ans	
	4- 40-59 ans	
	5- 60-69 ans	
	6- 70 ans et plus	
AGGLO5	Taille d'agglomération (5 modalités)	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- moins de 2.000 habitants	
	2- de 2.000 à 20.000 habitants	
	3- de 20.000 à 100.000 habitants	
	4- 100.000 habitants et plus	
	5- Paris et agglomération parisienne	
ALLMOBI	Vous connectez-vous à Internet à domicile avec un mobile, une tablette ou un ordinateur sur le réseau mobile ?	2016
ex MOBIMOBI+ORDICLE3	1- Oui	
	2- Non	
BLOG	Avez-vous créé un blog ou un site personnel sur Internet ? (12 derniers mois)	2007 2008
	1- Oui	
	2- Non	
CHARTE1	Serait-il nécessaire d'instaurer une charte pour limiter l'usage professionnel des TIC hors du travail ?	2013
	1- Oui	
	2- Non	
CHARTE2	Serait-il nécessaire d'instaurer une charte pour limiter l'usage personnel des TIC au travail ?	2013
	1- Oui	
	2- Non	
CHEAP_ECO	Grâce à internet, économisez-vous car les produits sont moins chers ?	2008
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
CHOIFAI1	Choix FAI : plate-forme vidéos à la demande ?	2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
CHOIFAI2	Choix FAI : bouquet télévision ?	2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
CHOIFAI3	Choix FAI : débit proposé ?	2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
CHOIFAI4	Choix FAI : qualité des services / image de marque ?	2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
CHOIFAI5	Choix FAI : destinations abonnement téléphonique ?	2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
CHOIFAI6	Choix FAI : services inclus dans box ?	2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
CHOIFAI7	Choix FAI : autre ?	2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
CLE_WEB	Disposez-vous d'une clé internet ?	2011 2012 2013
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
CONFWEB	Avez-vous confiance dans les avis qui sont émis par ces utilisateurs ? [sur internet, notes/évaluations/commentaires]	2015
	1- Très confiance	
	2- Assez confiance	
	3- Peu confiance	
	4- Pas du tout confiance	
	5- Ne sait pas / Ne répond pas	
CRITERE_ORDI	Quel est le critère le plus important pour l'achat d'un ordinateur ? (hors prix)	2009
	1- La marque	
	2- La consommation d'énergie	
	3- La capacité de mémoire	
	4- Les logiciels qui sont pré-installés	
	5- La rapidité	
	6- Les possibilités de recyclage du produit	
	7- Le service après-vente	
	8- Aucun de ces critères	
	9- Ne sait pas / Ne répond pas	
DELAY_MOB	Avez-vous repoussé l'achat d'un téléphone mobile ces derniers mois ?	2009
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
DELAY_ORDI	Avez-vous repoussé l'achat d'un ordinateur dans les derniers mois ?	2009
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
DIFFMOB	Eprouvez-vous des difficultés à passer des appels, envoyer/recevoir SMS sur votre mobile à votre domicile?	2016
	1- Oui, très souvent	
	2- Oui, assez souvent	
	3- Non, assez peu souvent	
	4- Non, jamais	
	5- Ne sait pas / Ne répond pas	
DIPL5	Niveau de diplôme	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Aucun, cep	
	2- BEPC	
	3- Bac	
	4- Diplôme du supérieur	
	5- Individu 12-17 ans	
DISTHOME	Pensez-vous utiliser à l'avenir des objets de domotique à distance?	2011       2015
	1- Oui, et je le fais déjà	
	2- Oui, et je le ferai probablement à l'avenir	
	3- Non, je ne le ferai probablement pas à l'avenir	
	4- Ne sait pas / Ne répond pas	
ECHANTIL	Sur-échantillon Arcep zones peu denses [2016]	2016
	0- Non	
	1- Oui	
FACEFUN	Utilisez-vous les réseaux sociaux pour vous divertir ?	2012     2015
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FACELIEN	Utilisez-vous les réseaux sociaux pour entretenir des liens avec des proches ?	2012     2015
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FACEMEET	Utilisez-vous les réseaux sociaux pour faire de nouvelles rencontres ?	2012     2015
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FACENEWS	Utilisez-vous les réseaux sociaux pour vous informer de l'actualité ?	2012     2015
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FACEPHO	Utilisez-vous les réseaux sociaux pour partager des photos & vidéos ?	2012     2015
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FACEPROF	Utilisez-vous les réseaux sociaux pour votre activité professionnelle ?	2012     2015
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FACE_INFO	Pensez-vous que les utilisateurs de réseaux sociaux devraient faire attention aux informations qu'ils y laissent ?	2009
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FACE_VPRIVEE	Pensez-vous que les réseaux sociaux devraient mieux protéger la vie privée ?	2009
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FACIL_INSTAL	Comment trouvez-vous la facilité d'installation des ordinateurs actuels ?	2009
	1- Plutôt bonne	
	2- Plutôt mauvaise	
	3- Ne sait pas / Ne répond pas	
FACIL_UTIL	Comment trouvez-vous la facilité d'utilisation des ordinateurs actuels ?	2009
	1- Plutôt bonne	
	2- Plutôt mauvaise	
	3- Ne sait pas / Ne répond pas	
FIAB_ORDI	Comment trouvez-vous la fiabilité d'utilisation des ordinateurs actuels ?	2009
	1- Plutôt bonne	
	2- Plutôt mauvaise	
	3- Ne sait pas / Ne répond pas	
FORMCONT	La formation continue vous a-t-elle bien préparé à utiliser les TIC dans un cadre professionnel ?	2013
FOURNIS2	Etes-vous abonné chez le même opérateur pour les services de téléphone mobile et pour l’accès à internet ?	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FOURNISS	L’opérateur qui fournit votre accès à Internet vous fournit-il également des services de téléphonie mobile ?	2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FRANCE_TEL	L'opérateur est-il France Telecom ?	2007 2008
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FRAUD_AUT	Avez-vous été victime d'autres fraudes sur mobile ? (12 derniers mois)	2010
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FRAUD_SMS	Avez-vous été victime de SMS frauduleux ? (12 derniers mois)	2010
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FRAUD_VOCAL	Avez-vous été victime d'appels frauduleux ? (12 derniers mois)	2010
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
FREINWEB	Quel est le principal frein à l'utilisation d'internet?	2007 2008 2009 2010 2011 2012   2014
	1- Internet est trop compliqué à utiliser	
	2- La qualité du service (temps de réponse, interruptions, etc.) n'est pas satisfaisante	
	3- Les données personnelles ne sont pas suffisamment protégées sur Internet	
	4- Cela revient trop cher (équipement à acheter, abonnement, etc.)	
	5- Internet n'est pas utile pour la vie quotidienne	
	6- Le service après-vente et l'assistance ne sont pas satisfaisants	
	7- Aucun de ces freins	
	8- Ne sait pas / Ne répond pas	
FREQACHA	Quelle est la fréquence de vos achants de biens sur internet ?	2016
	1- Une à deux fois par semaine	
	2- Tous les mois	
	3- Plusieurs fois par an	
	4- Une fois par an	
	5- Jamais	
	6- Ne sait pas / Ne répond pas	
FREQAUT5	A quelle fréquence vous connectez-vous à internet par un autre moyen ?	2014
	1- Tous les jours	
	2- Une à deux fois par semaine	
	3- Plus rarement	
	4- Jamais	
	5- Ne sait pas / Ne répond pas	
FREQBURO	A quelle fréquence vous connectez-vous à internet sur votre lieu de travail (ou d'études) ? (12 derniers mois)	2007 2008 2009 2010 2011   2013
	1- Tous les jours	
	2- Une à deux fois par semaine	
	3- Plus rarement	
	4- Jamais	
	5- Ne sait pas / Ne répond pas	
FREQJOB	A quelle fréquence utilisez-vous un ordinateur au travail ?	2007           2013
	1- Tous les jours	
	2- Une à deux fois par semaine	
	3- Plus rarement	
	4- Jamais	
	5- Ne sait pas / Ne répond pas	
FREQMOBI	A quelle fréquence vous connectez-vous à internet par un ordinateur portable ?	2007 2008 2009 2010 2011 2012 2013 2014
	1- Tous les jours	
	2- Une à deux fois par semaine	
	3- Plus rarement	
	4- Jamais	
	5- Ne sait pas / Ne répond pas	
FREQORDIDOM	A quelle fréquence utilisez-vous vous-même l'ordinateur à domicile ?	2007 2008
	1- Tous les jours	
	2- Une à deux fois par semaine	
	3- Plus rarement	
	4- Jamais	
	5- Ne sait pas / Ne répond pas	
FREQPUBL	A quelle fréquence vous êtes-vous connecté à internet dans un lieu public en utilisant les équipements à disposition? (12 derniers mois)	2007 2008 2009 2010 2011
	1- Tous les jours	
	2- Une à deux fois par semaine	
	3- Plus rarement	
	4- Jamais	
	5- Ne sait pas / Ne répond pas	
FREQTOT	A quelle fréquence vous connectez-vous à internet ?	2015 2016
	1- Tous les jours	
	2- Une à deux fois par semaine	
	3- Plus rarement	
	4- Jamais	
	5- Ne sait pas / Ne répond pas	
FREQ_DOM	A quelle fréquence vous connectez-vous à internet à domicile ?	2007 2008 2009 2010 2011 2012 2013 2014
	1- Tous les jours	
	2- Une à deux fois par semaine	
	3- Plus rarement	
	4- Jamais	
	5- Ne sait pas / Ne répond pas	
GPS	Avez-vous utilisé un système d'aide à la la navigation du type GPS ?	2007
	1- Oui	
	2- Non	
	3- Je ne connais pas ce système	
	4- Ne sait pas / Ne répond pas	
HAUT_DEBIT	Votre connexion à Internet à domicile est-elle à haut débit ?	2007 2008
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
HD_TECH	Type de connexion haut débit	2007 2008
	1- Par une ligne ADSL	
	2- Par le câble	
	3- Par le satellite	
	4- Par un autre moyen	
	5- Ne sait pas / Ne répond pas	
HR_MICRO	Nombre d'heures passées à utiliser l'ordinateur hors internet (par semaine)	2012
HR_TELE	Nombre d'heures passées à regarder la télévisions sur un poste de télévision (par semaine)	2010   2012       2016
HR_VIDEO	Nombre d'heures passéees à regarder des vidéos sur Internet (par semaine)	2012       2016
HR_WEB	Nombre d'heures passées sur internet quelque soit le lieu (par semaine)	2010   2012 2013 2014   2016
INTER	Identifiant CREDOC	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
INTERNET	Avez-vous à votre domicile une connexion à internet (hors téléphone mobile) ?	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
LIEU_AIDE	Iriez-vous dans un lieu d'aide à l'utilisation d'un ordinateur ou d'internet ?	2010
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
LIVRACHA	Quel est le mode de livraison que vous pratiquez le plus ?	2016
	1- A domicile	
	2- En points relais	
	3- En magasin	
	4- En bureau de poste	
	5- En consigne	
	6- Sur le lieu de travail	
	7- Ne sait pas / Ne répond pas	
LIVREWEB	Pensez-vous utiliser à l'avenir une liseuse numérique?	2011       2015
	1- Oui et je le fais déjà aujourd'hui	
	2- Oui, je le ferai probablement à l'avenir	
	3- Non je ne le ferai probablement pas à l'avenir	
	4- Ne sait pas / Ne répond pas	
LOCA_GEO	Souhaiteriez-vous avoir la possibilité d’interdire la transmission de votre localisation à des entreprises commerciales ?	2007 2008     2011 2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
LOCA_NO	Souhaiteriez-vous pouvoir vous opposer à la collecte de traces de localisations ?	2007
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MICRO	Avez-vous un micro-ordinateur à votre domicile ?	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Oui, un seul	
	2- Oui, plusieurs	
	3- Non	
	4- Ne sait pas / Ne répond pas	
MISSWEB	Combien de temps pouvez-vous vous passer d'internet sans que ça vous manque?	2011         2016
	1- Quelques heures	
	2- Une journée	
	3- Deux ou trois jours	
	4- Une semaine ou deux	
	5- Trois ou quatre semaines	
	6- Plus longtemps	
	7- Ne sait pas / Ne répond pas	
